rowId,PROGRAM_WORKING_ID,MESSAGE,DATE_CREATED
384,65,M01 	Cutting override zero         	0102,2025-05-27 13:11:04.3815904
385,65,,2025-05-27 13:11:04.8650539
386,65,M01 	Cutting override zero         	0102,2025-05-27 13:11:05.6563726
387,65,,2025-05-27 13:11:06.4818653
388,65,M01 	Cutting override zero         	0102,2025-05-27 13:11:12.5156065
389,65,,2025-05-27 13:11:12.7720599
390,65,M01 	Cutting override zero         	0102,2025-05-27 13:11:14.5818814
391,65,,2025-05-27 13:11:16.2125997
392,67,M01 	Cutting override zero         	0102,2025-05-27 13:13:35.0110265
393,67,,2025-05-27 13:13:36.3738513
394,68,M01 	Cutting override zero         	0102,2025-05-27 13:19:01.6671991
395,68,,2025-05-27 13:19:02.7461169
396,69,M01 	Cutting override zero         	0102,2025-05-27 13:19:12.7089622
397,69,,2025-05-27 13:19:14.0515569
398,75,M01 	External interlock axis exists	0004        	XYV,2025-05-27 13:37:25.6114667
399,75,,2025-05-27 13:37:27.7627659
400,75,M01 	Cutting override zero         	0102,2025-05-27 13:37:35.0266652
401,75,,2025-05-27 13:37:35.2944791
402,75,M01 	Cutting override zero         	0102,2025-05-27 13:37:35.8236483
403,75,,2025-05-27 13:37:36.081674
404,75,M01 	Cutting override zero         	0102,2025-05-27 13:37:38.9447827
405,75,,2025-05-27 13:37:39.2053757
406,76,M01 	External interlock axis exists	0004        	XYV,2025-05-27 14:34:57.3855099
407,76,,2025-05-27 14:35:00.7840914
408,76,M01 	Cutting override zero         	0102,2025-05-27 14:35:34.4356099
409,76,,2025-05-27 14:36:17.1351649
410,77,M01 	External interlock axis exists	0004        	XYV,2025-05-27 14:37:22.1852313
411,77,,2025-05-27 14:37:25.6038565
412,78,M01 	External interlock axis exists	0004        	XYV,2025-05-27 14:39:43.1071925
413,78,,2025-05-27 14:39:46.4682211
414,78,M01 	Cutting override zero         	0102,2025-05-27 14:40:41.901618
415,78,,2025-05-27 14:40:44.5452536
